label,sen
-3,民初时代国家动荡不安，军阀割据导致民不聊生，相传皇族端王藏匿了一大批财宝，后因得罪慈禧被满门抄斩，仅留幼女碧云格格随一戏班琴师逃走。
1,老花，是为人的眼睛老化的自然过程，基于当人眼看近物时，眼球内投射过多光线于水晶体而非视网膜，导致不能对近物对焦的视力问题，患者在看近物时视物变得模糊。
1,另一病征是患者在把焦点大幅转移时的瞬间影像会暂时性变得模糊，这是因为眼睛变焦迟缓所致。
1,应用程序之所以支持插件的使用原因很多，主要包括：使得第三方的开发者可以对应用程序进行扩充、精简，或者将源代码从应用程序中分离出来，去除因软件使用权限而产生的不兼容。
1,由于大龙的化石很稀少，而且是碎片、属于幼年个体，所以并不清楚牠们的生活方式及行为模式。
1,大型的断层通常是板块运动造成地壳活动的结果，无论是两个板块分离、挤压、隐没、相对旋转或是平移都有可能产生断层。
1,逆断层是岩层因为受到挤压的力量而产生的断层。
3,因为断层具备大规模岩体相互位移的特性，在移动中，会造成极大的压力与剪切力，有机会破坏介面附近的岩石，让他们发生磨碎、变质、甚至重新结晶的作用，产生新的岩石或矿物。
1,如果磨碎进行得更彻底，会在高压及摩擦后高热的情况下产生，造成断层带岩石碎细砾化。
1,断层除了造成新种类岩石、矿物的产生，在某些断层区，强烈的断层作用也可能造成岩石磁性的丧失。
2,在地质工程学中，断层经常造成岩层之间的不整合面，并可能对隧道、地基施工中的土壤和岩体力学性质受到影响。
1,利库德集团在1973年的第一次选举中强有力的表现，导致工党减少了12个席位，之后利库德集团赢得1977年的选举，在排名领先11个席位。
0,蜀汉灭亡后黄皓被带回洛阳，司马昭说他会导致国家灭亡，便将黄皓凌迟处死。
1,基督固然为救赎众人而死，但祂里面神的道却不可能死，所以基督神人二性必须有所区分，因此强调神性与人性的结合是道德性的结合，是意志上的结合，而非本质上的合一。
0,布特曼认为，在科学时代不能再用神话传扬基督福音，因为那些超自然的神话，只是过去的事件，无法重复出现，经不起科学的验证，只能存在于当时文化所能接受的世界观里，所以神话已不足以采信。
0,亚流说：基督乃是神所造的，不过在万世以前被造在万物之先而已，所以基督也有不存在的时候。
0,2、永远都设立止损位，减少买卖出错时可能造成的损失。
0,13、不要因为不耐烦而入市，也不要因为不耐烦而平仓。
0,18、不要因为价位太低而吸纳，也不要因为价位太高而沽空。
-3,事后，据有关学者调查研究后表示，该鲸鱼发生爆炸的部位曾受过船只撞击，这直接导致鲸鱼在海滩边搁浅而死以及该部位承受不了体内腐败产生的气体压力从而产生爆炸。
1,从科技面来说，网路是一群系统软硬体、技术的集合，所以网路一定要有技术规范才能让全球每一个国家连上网路，畅行无阻。
2,湾区复杂的地形促成了多样化的微气候，导致一些邻近地区也有着较大的温度和气候差异。
-3,高昂的居住成本也导致了大量流浪者的出现。
1,不少在湾区工作的人都选择在偏远的位置买房，这也导致了湾区成为全国最多的地区：这些人通勤时间通常都在90分钟以上。
1,由此可知，这位姓韦的天将军是南方增长天王座下的八将军之一，在四大天王三十二将军之中最受敬重的一位，一是因为祂修童真梵行，二是因为祂守护僧伽及佛法最是不遗余力。
-1,在1910年，哈雷彗星的光谱分析发现了彗星尾巴中含有氰，这导致公众担心地球通过尾巴时会被氰毒化。
-1,先任皇后是狭穗姬命，但因为皇后的兄长狭穗彦发起了叛乱，皇后追随哥哥投火自尽。
1,2010年世界杯足球赛，赛萨尔做为巴西国家队主力门将出战，然在1/4决赛对阵荷兰的比赛中，赛萨尔在拦截对方传中球时出现致命失误并造成球队失球，最终巴西队1:2失利。
1,古典进化论，没有考虑环境与地理所造成的文化的区域性与民族性，其立论基础是人类心智能力的一致性。
1,关于源义经的容貌，由于同时代人物的著作及记述中皆未有客观描写，也没有生前画像传世，所以后世只能凭借想像及其亲族画像来推测。
0,※因为与过往作品的设定有异，所以简单记载如下。
1,一般认为中国大陆的城市群、经济圈正在发展和形成过程之中，由于之前的地方保护主义、行政区划导致的条块分割等因素，缺少真正意义的区域经济合作和统一城市规划。
1,挪威第一场国际赛在1908年7月12日于哥德堡对着瑞典，这一场也是瑞典的第一场国际赛，不过瑞典的实力明显高很多，因为瑞典以11比3击败他们。
1,由此看来，1908年至1917年是挪威最乏善可陈的时代，因为他们一直得不到一次胜利。
0,澳洲公开赛进入八强后，他因为膝伤复发而退赛，以3–6、62–7、0–3直落三盘败给穆雷，宣告卫冕失败。
-1,中港大排水沟的污染严重，且沉积淤泥造成淹水和臭味问题，影响附近的生活环境品质。
1,盲目者的思维方式与人类相异甚大，所以人类不可能理解它们的思想。
-1,在欧洲历史上，来自东亚的匈人对罗马帝国的进攻，间接导致了西罗马帝国的覆亡。
1,鲍亚士对摩尔根理论的拒斥，导致他在一篇于1907年发表的文章里，挑战欧提斯的博物馆展示原则。
0,这个取向导致鲍亚士提倡文化人类学，它的特色在于坚强致力于：。
0,2006年世界杯足球赛决赛中，他蓄意激怒齐达内导致被头撞击。
0,马特拉齐究竟说了什幺导致齐达内如此愤怒，以至于在比赛中公然头撞他成为了赛后人们感兴趣的话题。
1,1因为缺乏历史依据，该圣人已经自罗马天主教圣人历中被移除。
-2,尼韦勒攻势失败导致法国士兵哗变，里博辞去总理职务，陆军部长保罗·潘勒韦接任，里博继续作为外交部长，一个月后辞职。
1,†-球季结束和休士顿太空人的战绩相同，但整季太空人对红雀的系列赛取得9胜7败，所以在季后赛享有优势。
1,大联盟扩充球队导致该分区于1969年被创建。
1,西魏废帝三年改西凉州为甘州，因为甘峻山得名。
0,“某化某”化合物中元素的价态都为其最常见的价态，且该命名不会导致歧义。
1,“几某化几某”当化合物中的元素变价较多，或元素所呈价态不是主要价态时，以上命名会导致歧义。
1,刘璇于6岁湖南长沙小学时就因为家长想让刘璇学会自立而送到业余体育学校接受体操训练，后来年仅8岁就入[[湖南省]]体操中心专业队，5年后入选国家队。
-3,由于1990年代米洛舍维奇治下的塞尔维亚卷入了三场战争，造成巴尔干半岛局势的动荡和巨大的生命损失，米洛舍维奇被一些西方媒体称为“巴尔干屠夫”。
1,黑腹果蝇通常被用于研究，因为它可以很容易地在实验室饲养，只有四对染色体，迅速繁殖，并且产很多卵。
